,screen_name,friends_count
596,PJVogt,1208
597,dark_shark,4
598,icuc_europe,230
599,FowlMouthsFood,1048
600,dhwthompson,282
601,kibblesmith,5276
602,Reductress,797
603,bao_london,231
604,SFBTom,1071
605,CourtRecords_,35
606,small_flowers_,65
607,chrisalcockdev,320
608,Philydelphia,535
609,Digi2alHQ,320
610,Histreepix,2803
611,dangersplay,144
612,eatyourkimchi,46
613,justinwmmoyer,1381
614,jack_sommers,2219
615,deerhoof,480
616,tomkatsumi,467
617,tinysubversions,2664
618,LeahZakss,2848
619,Yokai_Watch_UK,136
620,UCLWhyWePost,629
621,thatlukeperson,534
622,awkwardshake,301
623,Tube_driver,122
624,Scarfolk,2
625,shenanigansen,1090
626,Xianimpression,407
627,WeFixYourAdvert,3
628,evilbmcats,17
629,autotwitch,374
630,FawltyTowers2K,1
631,jessicaannweeks,735
632,HotPotShuang,132
633,TwitterGaming,1337
634,AdultSwimUK,995
635,Sir_carma,4
636,PhilippaRice,666
637,SambalShiok,539
638,motherboard,108
639,blab,16
640,Slate,674
641,edzitron,3514
642,ColinAnder,2776
643,MakingAMurderer,11
644,theQuietus,1891
645,basicbitchesnyc,919
646,videoGaiden,53
647,porksmith,1151
648,sciencevs,1058
649,PG_kamiya,2
650,SamplerShow,274
651,internetofshit,248
652,UKMoments,13
653,astro_timpeake,638
654,DonatFatet,46
655,sonic_hedgehog,68
656,yokobrioche,349
657,Snowden,1
658,IchiryuUdon,560
659,richardosman,1508
660,joelist,456
661,OFalafel,983
662,davidjavery,320
663,localguides,107
664,meganphelps,1122
665,BBC_Guerrillas,165
666,keirariek,2201
667,lisa_schonberg,1316
668,clickbaitrobot,1
669,makerbase,4
670,SurprisingShow,747
671,deathwarmedover,196
672,alrightmousey,399
673,animalcrossing,3
674,londoneating,4182
675,BATTLES,61
676,JoannaG,5331
677,conditionalrecs,587
678,MeganFJames,559
679,staypuft,94
680,Awl,1951
681,madderrabbit,403
682,BegumNadiya,1081
683,DrRayBakes,876
684,TwitterMoments,11
685,MikeDiver,1271
686,SunApology,494
687,KernelMag,275
688,borntorover,740
689,revpeterlaws,1401
690,archillect,1
691,londoncatcafe,4227
692,jokeisntfunny,489
693,manwhohasitall,889
694,YrBFF,628
695,HootCommunity,6483
696,voxdotcom,304
697,FrogCroakley,4369
698,expeopleband,571
699,witchingwaves,371
700,CorbynWarnings,1
701,RitaFevereiro,891
702,terrycavanagh,767
703,fairfairisles,2070
704,doteveryone,3366
705,EEarthworms,417
706,vajdagabor,271
707,howsoundtweets,190
708,Transom_org,559
709,NetflixUK,1856
710,LionsRoar,722
711,GoGoGoDark,308
712,KaitlinOlson,161
713,RMcElhenney,410
714,sirjoancornella,564
715,smithereened,104
716,replyall,355
717,podcaststartup,528
718,Gimletmedia,221
719,thenextweb,320
720,brewteapub,1286
721,hanhansoderlund,841
722,diyspace4london,4911
723,AshvsEvilDead,425
724,Konnie_Huq,937
725,paulfeig,788
726,InTimsWorld,8
727,funomena,535
728,inoffensive,817
729,PureFknBeauty,26
730,hannahnicklin,1532
731,SFBDim,2863
732,wigglymittens,4958
733,ArfMeasures,480
734,waypoint,840
735,PhotoSonny,1218
736,EdCast,6776
737,BleakMotivation,215
738,wannabefro,182
739,MysteryShow,29
740,hotdinners,1625
741,BritishComedy,4496
742,HelmerReacts,1
743,SP1nightonly,16
744,LoHoIsLivin,1026
745,POTUS44,78
746,rossleebonebag,1218
747,broderick,2070
748,TweetDeck,143821
749,newsjean,2029
750,gdngames,21
751,YesThatsTheJoke,158
752,JohnDelury,2375
753,makingamesisfun,57
754,Popular_Space,570
755,GALFINCH,265
756,impactioneers,122
757,cafelondonblog,135
758,GoogleForEdu,889
759,tanyarezak,1781
760,TheTedNelson,11
761,caneandrinse,714
762,riaglo,4746
763,alexhern,1970
764,toku_podcast,183
765,offsethq,7
766,davemajor,145
767,AmyIrvine_14,355
768,Steenton,490
769,houseparty,15
770,iexplorer,32
771,Olly_IWTYAL,50
772,TheMemo,4001
773,ricardoplopes,233
774,WeWantPlates,1
775,Gamers_Edition,61
776,carlosdouh,63
777,brainpicker,345
778,thekingbillypub,26
779,CoSchedule,1548
780,catesish,880
781,VenturaAgency,7525
782,culturaltales,12489
783,blainecapatch,5655
784,GetCreativeUK,2111
785,OwenJones84,5918
786,AllusionistShow,97
787,thisisallan,2597
788,FreeseChristian,211
789,futurecityblog,2329
790,DangerMindsBlog,149
791,message,23
792,brendancanty,964
793,thetrapset,903
794,simpsoneh,1157
795,thepublandlord,10
796,BBCTaster,144
797,daisygriffith,693
798,Sleater_Kinney,62
799,RetroStudios,873
800,DanMentos,689
801,ImaginationGLBL,1801
802,NeillBlomkamp,299
803,honest_ldn,2010
804,qikipedia,1003
805,Homeburger,882
806,VodafoneUK,18945
807,PeterHorrocks,1075
808,PlayStationUK,231
809,HiScoreClub,320
810,KQ_London,839
811,tastefactory,738
812,TheLapsePodcast,6262
813,VioletBerlin,856
814,mrbiffo,1981
815,saulwordsworth,450
816,ICALondon,863
817,guardian,1070
818,serial,137
819,radiotopia,757
820,AudienseCo,72632
821,AndyVale,2429
822,Krakenpodcast,1489
823,GridlockBen,131
824,UKMUJI,183
825,Ghostbusters,107
826,beekernortham,286
827,bigdadarecords,505
828,DannyCohen,151
829,sebjacobs,774
830,craftui,296
831,Foyles,1959
832,remakeremodel,2089
833,SpectralHands,932
834,2plus2isjoe,1066
835,SharonHorgan,1491
836,LinkedInLife,143
837,p_dubuc,608
838,tpfilmclub,976
839,atalkingshop,28
840,webwewantfest,909
841,EGX,378
842,BrettHeazy,368
843,BBCcats,258
844,barcamplondon,396
845,AHDB_Potatoes,1117
846,PotatoPro,10671
847,withknown,575
848,MetaBroadcast,407
849,typeform,3425
850,PortlandDesign,1869
851,elisacecilli,520
852,martinaustwick,2675
853,InTheDarkRadio,465
854,romanmars,3048
855,happybirthtime,5199
856,ActSciTheatre,152
857,DRyanR,668
858,rainsong1972,327
859,JulianHillUK,2871
860,EUrefMOOC,740
861,cryptidfactor,256
862,Computer_Aid,3615
863,20thcenturymarc,3159
864,alboley,666
865,Draughtslondon,3634
866,BuzzFeedVideo,326
867,DTRTpodcast,683
868,gamefacts,1
869,TalksLondon,1885
870,FistShark,89
871,padlet,272
872,keefstuart,2227
873,SimonParkin,1328
874,Dempster2000,725
875,FilmDifferently,357
876,creativeapricot,221
877,lovieawards,4979
878,KartGang,68
879,hot_shorts,773
880,BBC_PA,782
881,Kagoule,365
882,LEGOBenny,9446
883,ManythingApp,251
884,parliamentedits,1
885,phlaimeaux,1268
886,SongExploder,86
887,AJemaineClement,2045
888,GroupMooc,476
889,YachtClubGames,71
890,HowManyComments,36
891,TaylorKerek,1633
892,tessacooper5,2009
893,CityMonitorAI,2889
894,THATWAS_THISIS,756
895,waltertown,70
896,QuicksandNYC,15
897,ClickHole,2
898,jointhefastlane,38
899,kimlovesstuff,1621
900,marcmaron,595
901,girl_band,164
902,dan_aykroyd,54
903,kentishtowner,11210
904,gainctrl,1011
905,Marthalanefox,2891
906,jakebeckman,975
907,SavedYouAClick,347
908,moomootown,2630
909,BradyHaran,214
910,odonisodonis,591
911,juweez,505
912,Picfair,2736
913,ElleEmmie,880
914,david_mitchell,41
915,justincooke,555
916,SteveWheeler,2208
917,medialab,1263
918,SwarmApp,276
919,jonwclifford,1623
920,FLCooperation,511
921,DesigningWomen_,162
922,guan_chua,1563
923,OUFreeLearning,289
924,alsy77,239
925,MindShiftKQED,1484
926,torpordust,2063
927,15071x,32
928,GarfbertComic,1916
929,RichMillington,89
930,ChrisJParr,4337
931,edwardaczel,2269
932,suzannehardytw,1275
933,Kotaku_UK,367
934,edutopia,67689
935,WW1uncut,112
936,GA_London,2305
937,GA,5400
938,DigitalBlonde,3346
939,RichardAyoade,516
940,GDSTeam,1202
941,1pAlbumClub,1482
942,getLittleBird,2367
943,SlintOfficial,69
944,lancebangs,2657
945,StreetFeastLDN,230
946,drinkrelaxplay,3198
947,discourse,23
948,rolytaylor,1230
949,DarwinDharma,80
950,lucyblackwell,332
951,roxy_esco,1101
952,wearespoilers,227
953,LondonLive,1610
954,DaftSouls,3
955,Weekesy,358
956,perfect_siobhan,1756
957,jennysoffel,1449
958,IanFletcherBBC,24
959,DrumItInAMinute,515
960,YourMoneyAdvice,1275
961,NoiseyMusic,1555
962,BAFTAGuru,1026
963,illsun,1616
964,oo_lo_ol_oo,106
965,pforpersia,151
966,Worst_Status,2254
967,wolfpupy,245
968,LastWeekTonight,370
969,Thayer,255
970,ApplePodcasts,1634
971,beforemario,211
972,rachelcoldicutt,2775
973,JoeONM,382
974,miketleach,146
975,ohdearyme,2499
976,anglepoised,215
977,THOHounds,2018
978,dumbstarbucks,4
979,joncrannage,965
980,SnowShoeStamp,1011
981,BenandStephen,144
982,lifestooshorter,322
983,KuriyaKEIKO,268
984,hollowaylife,3207
985,robnitm,2474
986,SlackHQ,143333
987,ditchenders,21
988,FLtestfeed2,15
989,dharmesh_rajput,3339
990,andrewjlaw,116
991,KathrynS_UK,218
992,guardiancities,1516
993,floehopper,187
994,PicPedant,235
995,Dangleway,9
996,tonkotsueast,35
997,jonnysun,2754
998,ESA_Rosetta,117
999,BBCiWonder,1276
1000,UkipWeather,359
1001,bbcww1,320
1002,HOOKWORMS,1037
1003,Bandcamp,346
1004,dandouglas,3749
1005,sankles,787
1006,rbanksy,1402
1007,summercampband,2442
1008,AlienIsolation,42
1009,TanDuarte,4436
1010,jelly,265
1011,BadMiiversePost,1
1012,Liono_Smithers,10
1013,WildRumpus,169
1014,katesandars,1486
1015,knotnicky,658
1016,knodium,711
1017,JoeBarton_,1665
1018,Recode,644
1019,wiredcampus,287
1020,chronicle,1576
1021,Willfrmbarnet,300
1022,loztopham,805
1023,SH0PP1NG,581
1024,nigelcsmith,3918
1025,joelchippindale,283
1026,sharplm,392
1027,geoffreyfowler,7127
1028,emmajbradshaw,747
1029,czetter,271
1030,eightbitraptor,300
1031,GoogleUK,542
1032,BoweryCamden,223
1033,TheWalkGame,6
1034,xuminji,212
1035,FLsusdevBath,123
1036,UoSoceans,623
1037,ClimateExeter,254
1038,clarespencer,2703
1039,EDTECHHULK,536
1040,tim_urbancrap,753
1041,timeshighered,3460
1042,GdnUniversities,6932
1043,barrymcgee,638
1044,mseckington,1266
1045,chrislowis,559
1046,DereckJohnson,405
1047,harrietotoo,416
1048,minor9th,851
1049,ampp3d,889
1050,TimeOutLondon,5152
1051,nerdaphor,72
1052,HRGore,790
1053,BBCtrending,15645
1054,OpenBadges,6776
1055,khanacademy,631
1056,edXOnline,366
1057,skillacademy,2071
1058,coursera,476
1059,DoctorWhomnt,1
1060,AstonishingSod,1605
1061,alicewhitey,829
1062,GillianWeekes,143
1063,DiscDentistry,22
1064,Nigel_Shadbolt,159
1065,colinwatkins,3482
1066,UoSFLwebsci,551
1067,evaapp,2815
1068,Que_Pasa_,1404
1069,GIPHY,1039
1070,BARSOFGOLDmusic,827
1071,Bedford_Falls,710
1072,herdyshepherd1,3488
1073,breithorn,441
1074,ActualCrimes,304
1075,HardSciFiMovies,463
1076,paulfoot,7
1077,TakeaBraek,9
1078,bbetts,950
1079,A_L_T,3936
1080,britishlibrary,978
1081,wlmager,1345
1082,AnimalXingFact,2
1083,mattcooke_uk,2502
1084,SWatercolour,2589
1085,JayneKitsch,1874
1086,happysquid,2653
1087,_MikeMcCartney_,418
1088,ItsHumpDayyy,2
1089,Popcash,378
1090,londonphile,791
1091,hokusaiexposed,295
1092,HarryMyCatDied,5
1093,ginatrapani,561
1094,thinkup,1
1095,fwd,109
1096,direlog,342
1097,Ravvi,2422
1098,helenauea,2000
1099,OpenUniversity,419
1100,PricehoundUK,5
1101,PriceHound,11
1102,theQuiggler,454
1103,BBCPlaylister,90
1104,Linkstagram,1
1105,BBCWhereNext,11
1106,Highgatemums,16
1107,jonkingsbury,2754
1108,NoMoreDaniels,990
1109,we_love_art_,242
1110,Citymapper,106
1111,mediabmth,1017
1112,aceattorneygame,7
